Club Name,District,Project Category,Project Title,Project Description
Venice,Florida,Childhood literacy,PJ’s  & Books,"""Members, our SLA clubs & public collect PJs and books for children and youth.  Club provides  for them.  They are distributed to homeless and foster children & youth with help from area school"""
Hendricks,Minnesota-Dakotas,Childhood literacy,Reading for Life,"""Hendricks Kiwanis Club has committed to providing a book each month during the school year to all students in Pre-school thrugh Fourth Grade at Hendricks Public School."""
Greater Sacramento,California-Nevada-Hawaii,Childhood literacy,Babcock Elementary School ,"""Literacy & Education at our adopted school, Babcock Elementary. We provide books to all students, support the teachers at the start of each year, help with school fundraising at Christmas, and run a K Kids program which the school uses as their student government.  """
Köln,Germany,Childhood literacy,MuseumsKinderZeit (MuseumKidsTime),"""Since 2017, KC Köln sponsors a program in collaboration with the Cologne Museums: Once a month, kids can attend a workshop at a Cologne Museum for free. They get a guided tour in the Museum, afterwards they create art, pictures, jewelry or sculpture themselves in the museum."""
Laconia,New England and Bermuda,Childhood literacy,KARES PROGRAM,"""KARES (Kid and Reading Equals Success) All 3rd graders in our community choose their books, 3 times yearly.  We budget $2500 to $3000 towards the program. We participate with each event, inclusive of donating the books, read to them in groups, snacks & doing a project together."""
South Bend,Indiana,Childhood literacy,Elmer and Fern Graber Kiwanis Dictionary Project,"""We distribute dictionaries to all of the 3rd Grade students in the South Bend Community School Corporation each year."""
Wayne,Nebraska-Iowa,Childhood literacy,Reading with Kiwanians,"""Our club members go to area preschools and read once a month to all the children in an effort to encourage excitement for reading.  At the end of the school year, the children are gifted a book to take home."""
Paris,Texas-Oklahoma,Childhood literacy,Imagination Library,"""Provide access to books through Dolly Parton's Imagination Library to children from birth to five years old in Lamar County and Red River County in NE Texas. to """
Jacksonville,Florida,Childhood literacy,Bringing Up Grades ( BUG's ),"""BUG's (Bringing Up Grades) Program at Love Grove Elementary School. Recognizes and awards each quarter students who improve at least one subject gradmaintaining all other existing grades.  Awards include certificates, gifts, refreshments and new bicycles.  """
Troy,New York,Childhood literacy,Valley Cats Reading Day,"""During the summer on Sunday home games at the Valley Cats we have a reading day.  The children that attend receive a book to promote summer reading.  Team members read to the children and sign their book.  The families love to meet the players and leave with a free book."""
Sparta,Wisconsin-Upper Michigan,Childhood literacy,Sparta Library Childrens room,"""Sparta is building a new library. Our Kiwanis club is fundraising to support a new childrens resource room in the new building."""
Dixon,Illinois-Eastern Iowa,Childhood literacy,First Grade Reading,"""Each year we spend 4 weeks entering each 1st grade classroom in our town and reading to the students each week. At the end of the 4th week we present each student with a book containing a bookplate stating who it was from and with the legend ""This is MY Book"""""
Hartwell,Georgia,Childhood literacy,Imagination Library,"""Monthy free books for Hart County children ages birth till 5!"""
Carlisle,Pennsylvania,Childhood literacy,"Learn 2 Read, Read 2 Learn",""" The Carlisle Kiwanis Club began the “Learn 2 Read, Read 2 Learn” program in 2016.  The program provides all children in the Carlisle School District in Kindergarten and 2nd grade, three new books throughout the school year, and 700+ books to kids at a back to school event."""
Monterey,California-Nevada-Hawaii,Childhood literacy,Early Literacy Project,"""The Kiwanis Club of Monterey has been providing a new book to every Monterey first grader every month since 2017.  Tens of thousands of books have been given to the youth through this project.  We also offer to go into the classroom to read."""
Grants Pass,Pacific Northwest,Childhood literacy,Julie Horowitz Reading is Fun Program,"""Reading literacy is an important learning and life skill for children to acquire. This love of learning  cannot be forced.  Implementation of our Reading is Fun program (RIF Program) can help support early reading and foster a love of reading and learning."""
Carlsbad,California-Nevada-Hawaii,Childhood literacy,Captain Book Literacy Program,"""Provide books and reading encouragement to young children """
Clarion,Pennsylvania,Childhood literacy,Bring Up Grades,"""Bring Up Grades (BUG) is an outreach program in local elementary schools encouraging students to bring up their grades from one grading period to the next."""
Clearbrook,Pacific Northwest,Childhood literacy,Book Party At SchooL  Literacy by adding to a child's home library.,"""Our book distribution project is aimed at inner city schools grades K-5. Arrangements are made with school administrators and kiwanis volunteers arrive with the books. Each student is able to select and keep a book of their choosing. Four schools are visited each year."""
Brockport,New York,Childhood literacy,Read Around the World,"""Our annual project to encourage children's reading.  We sponsor a bookmark creation 'contest' and provide a book for each entrant and special books for the best judged bookmarks in each age group.  We celebrate with book readings at Seymour Library followed by an ice cream social"""
Battle Ground,Pacific Northwest,Childhood literacy,Dr. Suess read a book day,"""Volunteers, and members, on Dr Suess day distribute books and hats to all 1st graders in Battle Ground school district and go into the schools to read to the classes on that day."""
Seward,Nebraska-Iowa,Childhood literacy,Free Little Libraries,"""Free Little Libraries- We have installed 5 little libraries around town. We have collected over 1,000 books. We have books for all ages!"""
Barbados-Central,Eastern Canada and the Caribbean,Childhood literacy,The Reading Box Project,"""Our Signature Project “The Reading Box Project”  is now in its third year in association with the Luther Thorne Memorial Primary School. The promotion of Literacy continues to the hallmark of our thrust in this area. Our theme for this phase of the project is “Play and Children a"""
"SouthShore, Sun City Center",Florida,Childhood literacy,Inspiring Reading in Comfy Socks,"""Through partnerships with Goodwill Bookworks and Bombas Socks our Club distributes new books and socks to the children of our community.   """
Davao City,Southern Philippine,Childhood literacy,KIWANIS DIGITAL & CREATIVE LIBRARY ,"""The Kiwanis Club of Davao City during its 50 years anniversary on June 6, 2017, established a digital & creative library where the members donated computers to the students of the Zonta Elementary school. Isla Verde, Davao City."""
Ames Golden K,Nebraska-Iowa,Childhood literacy,Golden K Listeners,"""Club members assist Kindergarten and First Grade Students in Ames Elementary Schools to improve their reading skills including comprehension, literacy, and interpretation.  """
Robeson-Lumberton,Carolinas,Childhood literacy,Read Around Robeson,"""Club purchases enough books for every 2nd grader in the public school system.  Club members schedule a time to read to the students during Dr. Suess's birthday week then give each child a book to keep in an effort to encourage reading."""
Mandeville,Eastern Canada and the Caribbean,Childhood literacy,Children's Playground at an Infant School,"""There was no play area for the infant at New Green Primary and Infant. The Kiwanis Club of Mandeville has transferred and installed two play equipment from the old location to where the school is currently. It is our intention to fence and finish this play area."""
Daet,Philippine Luzon,Childhood literacy,Boys and Girls Week,"""KC Daet invites students ages 14 to 16 from different schools to participate in an event that let them assume the role of a government position. For instance a Mayor, Governor, City Accountant, or City Engineer. They are also given activities that boost their management skills."""
Billings Golden K,Montana,Childhood literacy,Books for Preschoolers,"""We read and give books to preschool children through the Explorers Academy (Head Start).  There are approximately 450 preschool children in the program.  We read to them twice a year.  Each child selects a book, we read it to them and they get to take the book home. """
Waynesboro,Capital,Childhood literacy,Children's Literature Project,"""We support 5 elementary school literacy initiatives serving over 1500 student in the Waynesboro/ Eastern August County Area"""
Paducah,Kentucky-Tennessee,Childhood literacy,Read To Ride (Bicycle Give-a-wayProgram),"""Bicycles are given to students for reading literacy in local Elementary & Middle schools."""
Fremont,Ohio,Childhood literacy,Kiwanis Preschool Lending Libraries,"""We sponsor and coordinate 6 area preschool lending libraries to which we continually donate books for parents to read to their preschool children."""
"Wilderness Road, Harrogate",Kentucky-Tennessee,Childhood literacy,Book Distribution/Book Reading,"""We conduct book readings thoughout our tri-state area to over 400 children a month"""
Henderson,Texas-Oklahoma,Childhood literacy,Little Ones Literacy,"""We partner with the Dolly Parton Imagination Library to provide children residing in Rusk County an age appropriate book every month from birth to age 5."""
Northeast Miami-Dade,Florida,Childhood literacy,Paws to Read Program-Furry Tales,"""Join us as children read to certified therapy dogs at Sunny Isles Beach Library in Miami-Dade County. The program helps children connect with books and develop a love of reading. For ages 4 to 8."""
Mount Vernon,Ohio,Childhood literacy,Dolly Parton Imaginations Library ,"""Help our United way in providing books ages 0 - 5 """
Myrtle Beach,Carolinas,Childhood literacy,Book Vending Machines,"""Placing book vending machines in local Title IV schools - students are awarded a token for good behavior which allows them to get a free book for themselves."""
Boardman-Youngstown,Ohio,Childhood literacy,Thomas Eisenbraun Signature Project,"""Providing a book per month to students in Youngstown City Schools in grades 2 through 4.  Reading to students who receive these books for their very own. """
"Barbados North, Speightstown",Eastern Canada and the Caribbean,Childhood literacy,Common Entrance Support Program,"""Our signature project is now in its 24th year. This project affords free tutoring to children ages 10 to 11 years who are preparing for the Common Entrance Program (Barbados Secondary Schools Examination The tutoring is conducted weekly,(English and Maths) on Saturday mornings vi"""
Antipolo,Philippine Luzon,Childhood literacy,Kiwanis Community Library & Special Needs Workshop,"""Our Facility caters all students from different levels who wish to do research and use our personal computer with internet access for their academic needs. We also conduct talent and skills workshop for people with special needs & disabilities. All of these services are Free!"""
Tahlequah,Texas-Oklahoma,Childhood literacy,Bringing Up Grades (BUG),"""Presentations and sponshorship of contest incentive for children to improve grades - 2 bikes awarded each year for 9 local elementary schools"""
"Reno, Sunrisers",California-Nevada-Hawaii,Childhood literacy,Kiwanis Youth Book Distribution Project,"""Supply and maintain 30 plus local bookshelves for at-risk locations around the community that serve primarily children. """
Sunrise Vista,California-Nevada-Hawaii,Childhood literacy,Vista Christmas Parade Book Giveaway,"""As annual member of the City of Vista, CA. Christmas parade, club and SLP members handout books to children along the parade route."""
Laoag City,Philippine Luzon,Childhood literacy,TWL: The Way to Light -'The truth we learn is the way we go and the light we see”,"""Name of Project: “TWL: The truth we learn is the way we go and the light we see”What is the primary focus of your signature project?  Helping and unlocking the process of learning of the children (pupils) in public schools. What group of people is primarily being served by your """
Clarksville,Kentucky-Tennessee,Childhood literacy,Reading Rodeo,"""Reading Rodeo - give books to all Third Graders in Montgomery County Elememtary School."""
Port Orchard,Pacific Northwest,Childhood literacy,Kindergarten Reading Program,"""The KRP began in 1993 and operates in 9 out of 10 elementary schools in SKSD. Each year, October through May, Kiwanis members read in 26-28 kindergarten classes and present high quality, age appropriate books to over 500 youngsters. """
Ada Diamond K,Texas-Oklahoma,Childhood literacy,Reading to Ada kindergarteners,"""Reading monthly to Ada kindergarteners"""
Oak Harbor,Pacific Northwest,Childhood literacy,Reading with Leaders,"""Our Kiwanis Club provided a book for every 1st grader in the district and arranged for a community leader to read the book to them virtually."""
Troy,Alabama,Childhood literacy,Annual Princess Ball,"""An evening with princesses (12 & under) and their kings the Saturday evening after Valentine's Day. Ticket sales and promotions support literacy projects around Troy including buying books for the local Head Start, teacher grants for our elementary school, and building book nooks"""
Lake Granbury,Texas-Oklahoma,Childhood literacy,Kiwanis Kids Book Club,"""The Kiwanis Club of Lake Granbury is reaching out to young readers with the Kiwanis Kids Book Club as Our Signature Project.  We use refurbished newspaper stands as receptacles for the books which are placed throughout the community.  Our Key Club keeps the books stocked'"""
Belleville,Wisconsin-Upper Michigan,Childhood literacy,Bookworms K4 Reading,"""We purchase 6 age appropriate books to read to the Belleville school K4 students. Members read to the classes 1 book for 6 months. .Each student is given a personalized book to take home for family reading so they have 6 books for their home library.."""
Perth,Australia,Childhood literacy,Book sales,"""Ongoing collection of donated books and resale to public with attention to children's books"""
Kernersville,Carolinas,Childhood literacy,Literacy Project,"""Our club emphasis is providing age-appropriate reading books to children. We give away reading booking at various community events and are placing a bookcase in elementary schools for students to earn a book with good behavior and on-time school attendance.."""
"Wautoma Area, Wautoma",Wisconsin-Upper Michigan,Childhood literacy,iPads for Autism,"""We have given 63 iPads to children with Autism since  2013"""
West Anderson,Indiana,Childhood literacy,Dictionary Project,"""We provide a personal dictionary to each third-grade student in each of the elementary schools in the Anderson Community School Corporation. These schools are Title I schools. Spanish - English Dictionaries are provided for Hispanic students."""
Indy-It's 5 o'clock Somewhere,Indiana,Childhood literacy,Little Free Library,"""We maintain two Little Free Libraries. One at Kiwanis International and one at the Jewish Community Center."""
Greater Hudson,Wisconsin-Upper Michigan,Childhood literacy,Books,"""Childhood literacy"""
Pinecrest Miami Dade,Florida,Childhood literacy, Back To School Supply Drive ,"""Back-to-School project is our annual undertake, where we distribute book bags and vital educational supplies  to students requiring assistance. We service over 150 students during this time from nonprofit organization Better Steps,  Carpe Diem, Plants in Design, CMB vision and me"""
"Eye of the Tiger eKiwanis, I-I",Illinois-Eastern Iowa,Childhood literacy,Book Drop Project,"""Childhood literacy is a major concern throughout the world. The Book Drop Project is designed to support newly opened Kiwanis Clubs with their first service project.  """
Niagara Wheatfield ,New York,Childhood literacy,"Share the Joy of Reading.  Take a Book, Share a Book, Leave a Book","""Every August, since 2008, we hold a book exchange as part of the Town of Wheatfield’s Family Picnic. After playing a simple beanbag toss game, children are invited to choose books for free from the hundreds of new & gently used books on display. Their smiles show their joy."""
South Bay Marina,California-Nevada-Hawaii,Childhood literacy,Bobby's Book Wagon,"""A wagon full of books is taken to community events and handed out to kids free of charge as our clubs way of promoting literacy"""
Croydon,United Kingdom (Kiwanis Nation),Childhood literacy,Dolly Parton Imagination Library. ,"""The Dolly Parton Imagination library """
Gladstone,Missouri-Arkansas,Childhood literacy,Dictionary Project,"""Our Kiwanis Club purchases dictionaries and distributes them to several local 3rd grade classes annually."""
Bayside,New York,Childhood literacy,Little Free Library Books NY Kamp Kiwanis,"""Donating Little Free Library to Kiwanis Kamp 2022 and provides free books every year"" Take a Book, Share a Book: to help the kids going to Kamp and the community """
Carrollton,Capital,Childhood literacy,Southeast Region Kiwanis Fishing Clinic,"""19th year providing the opportunity to learn how to fish for kids 8-12 years old at no cost to participants.They are allowed to fish on a pier with chaperones, served breakfast, go through educational booths about fish species, water safety, boat safety, and rescue teams"""
Fondy Bunch,Wisconsin-Upper Michigan,Childhood literacy,Terrific Kids,"""Our group's signature project is a monthly reading program held in a local schools' classrooms. During the scheduled reading time each month, a specific book is read which teaches a particular quality of a 'Terrific Kid'. A small project with the kids is done."""
23 East Online Jamaica,Eastern Canada and the Caribbean,Childhood literacy,"  ""ABC Explorers"": Making learning letters and words an adventure","""This six-month literacy program aims to foster a love of reading and writing in young children (ages 4-6 yrs.) through interactive learning experiences. Volunteers from Kiwanis clubs will support the children in developing foundational literacy skills, while also encouraging crea"""
Jefferson,Georgia,Childhood literacy,The Literacy Launch,"""Collect and distribute 24 individually-wrapped books to children in K-2 so that they can unwrap a book each day in December until Christmas."""
Wadadli Young Professionals,Eastern Canada and the Caribbean,Childhood literacy,Kool Kidz Project,"""Early Childhood Education is grossly underfunded in the country. Hence, the Club partners with private sector to provide educational and cleaning supplies. We also engage in reading and play with the students and we assist with sprucing up the schools, where needed. """
New Lucena Central,Philippine Luzon,Childhood literacy,Kumain at Matuto (Eat and Learn) Project,"""Kumain at Matuto (Eat and Learn) Project is involves the street children whoo wants to eat and learn afterwards. We take care of them by giving food, bathing them, give them free service haircut and teaching them how to read andd write. """
Glen Cove,New York,Childhood literacy,Little Free Library,"""Little Free Library"""
South St. Andrew,Eastern Canada and the Caribbean,Childhood literacy,Essay Writing Competition,"""Essay Writing Competition (2024) is geared at encouraging children to showcase their literacy talents, allowing children to explore literacy experiences and promote literacy development (comprehension, language, and reading skills) Theme- Impacting Children’s Life through Literac"""
Rowland Heights,California-Nevada-Hawaii,Childhood literacy,Literacy Fair,"""The event is to promote, engage and celebrate literacy and community through reading, free books giveaway, fun activities. It is open to people of all age in the neighborhood or surrounding communities. All branches of our Kiwanis family was invited to participate"""
Nittany,Pennsylvania,Childhood literacy,Pre-School Math Learning Games,"""The club has designed and made a game consisting of hand made wood blocks and pictures to teach pre-school age children math concepts."""
Metro Detroit Young Professionals,Michigan,Childhood literacy,Little Free Library,"""We strive to populate much of Metro Detroit with more Little Free Libraries to encourage literacy at all ages."""
Caribe,Colombia,Childhood literacy,ADECUACION PLANTA FISICA FUNDACION AMIGUITOS DE JESUS,"""ADECUACION DE LA PLANTA FISICA FUNDACION AMIGUITOS DE JESUS"""
Arcadia Young Professionals,California-Nevada-Hawaii,Childhood literacy,Book & Bike Safety Fair,"""An Annual event where we give out 1,000+ books and 100 bike helmets to promote literacy and bike safety."""
Bandaraya Ipoh,Malaysia,Childhood literacy,Dictionary Project & Ipoh Down Syndrome Centre,"""The Dictionary Projects was established by our Club since 2011 and each year thousands of identified underprivilege Children are given the dictionary throughout the Northern Region. Ipoh Down Syndrome Ctr is also our Long Term Signature Project we established for the special kids"""
Division 43 CNH on the Monterey Peninsula for Literacy,California-Nevada-Hawaii,Childhood literacy,LITERACY PROMOTION IN DIVISION 43,"""LITERACY PROMOTION IN DIVISION 43"""
Airdrie Foothills,Western Canada,Childhood literacy,Books for Babies ,"""New board book for every baby born in the Airdrie area. There are approximately 1100 babies born every year in the area serviced by the Airdrie health unit that we have partnered with for distribution.  We have a partnered with Airdrie Public Library increase awareness."""
University City,Missouri-Arkansas,Childhood literacy,Literacy,"""Currently we are reading to U. City School District's 2nd graders monthly. Four of our members are assigned to the Early Learning Center and three of our elementary schools. These members read to  students in these buildings once a month during a given time frame.  """
Caledonia,Michigan,Childhood literacy,Literacy Initiative,"""Club provides a free book to each 2nd, 3rd, 4th & 5 Grader in all 5 of our Elementary Schools.  4 books are selected by the Youth Librarian, and the child can make their selection for 1 of the 4 books to keep and read over the summer."""
Arrowhead,Southwest,Childhood literacy,Dictionary distribution to 3rd grade students,"""Dictionary Distribution"""
Clifton,New Jersey,Childhood literacy,Ice Cream Social,"""Celebrating Clifton's children who have successfully completed the Summer Reading Program. Clifton Kiwanis and Clifton Key Club volunteers give ice cream sandwiches to those who received tickets for completing the program. While waiting, children and Key Clubbers talk about books"""
Malabon Gems,Philippine Luzon,Childhood literacy,"K-aralan, K -lusugan, K- alikasan, K- buhayan, K-Cares","""The K -aralan project is about literacy and numeracy. The purpose of this project is to help children to improve their skills to think critically and creatively. While the K-lusugan project adhere to promote health awareness. The K -alikasan is to promote environment consciousnes"""
